node_id,x,y,z,ux,uy,uz,ux_abs,uy_abs,uz_abs
2878,2.912514060396004,0.4091766964866572,0.29941516995833756,-3.861406376694682e-09,1.7770757722982004e-09,3.182858719109501e-08,3.864847797228522e-09,1.7790256591368874e-09,3.186215996182292e-08
2879,2.9934172287403378,0.8183533929733144,0.37426896244792196,-5.571970520556423e-09,3.2743898755623665e-09,2.7626567914879076e-08,5.576683479805445e-09,3.2779643553189453e-09,2.7654963419368686e-08
2880,2.9934172287403378,0.8183533929733144,0.29941516995833756,-3.3519250056532986e-09,1.961485892894797e-09,2.7645810957230283e-08,3.354759922261382e-09,1.963630234706373e-09,2.7674241692216948e-08
2881,3.074320397084671,1.2275300894599717,0.37426896244792196,-4.650830209268632e-09,3.6666218948390077e-09,2.2211125808697887e-08,4.6544324154937385e-09,3.6706251761182856e-09,2.22329961264614e-08
2882,2.7507077237073374,0.0,0.07485379248958439,4.0433411347592425e-09,-1.6028063702804625e-09,3.1873869502549153e-08,4.047132893600007e-09,1.604570508665131e-09,3.190856868857889e-08
2883,3.074320397084671,1.2275300894599717,0.29941516995833756,-2.8037062909758955e-09,2.195830013489956e-09,2.2221297632492554e-08,2.8058826317408373e-09,2.1982306825560914e-09,2.2243190745028012e-08
2884,3.1552235654290044,1.6367067859466289,0.37426896244792196,-3.670074210348017e-09,4.045448639943033e-09,1.5458644471497157e-08,3.6725110348679964e-09,4.04987024868576e-09,1.547250184703633e-08
2885,2.8316108920516707,0.4091766964866572,0.07485379248958439,3.808186641275381e-09,-1.6948708498992364e-09,2.901979775558979e-08,3.811658599640605e-09,1.696713070714491e-09,2.9050860832009182e-08
2886,3.1552235654290044,1.6367067859466289,0.29941516995833756,-2.219216822824308e-09,2.4199899533933124e-09,1.545605821233446e-08,2.22069877833921e-09,2.4226382613866834e-09,1.5469921401189056e-08
2887,3.2361267337733377,2.045883482433286,0.37426896244792196,-2.6399812809857583e-09,4.331779825453301e-09,7.472466361921196e-09,2.6412572171228434e-09,4.336514055756475e-09,7.477129372027794e-09
2888,2.912514060396004,0.8183533929733144,0.07485379248958439,3.2781650107237243e-09,-1.8585472118737772e-09,2.5220853561021275e-08,3.2809785638535774e-09,1.8605551558237195e-09,2.524724666843779e-08
2889,3.2361267337733377,2.045883482433286,0.29941516995833756,-1.6028970442390665e-09,2.586839797871651e-09,7.455477711612871e-09,1.6036835791895551e-09,2.589670944811009e-09,7.460128030425013e-09
2890,3.3170299021176715,2.4550601789199433,0.37426896244792196,-1.5936293121916515e-09,4.474248214562029e-09,-1.4874254151701093e-09,1.5939081382339865e-09,4.479123467211113e-09,1.497489784080044e-09
2891,2.9934172287403378,1.2275300894599717,0.07485379248958439,2.6997751109590157e-09,-2.0757548496767133e-09,2.020059133342912e-08,2.701878156806225e-09,2.0779954934090463e-09,2.0220943292718395e-08
2892,3.3170299021176715,2.4550601789199433,0.29941516995833756,-9.73798998113174e-10,2.666484063629058e-09,-1.5182582892092465e-09,9.739809243714716e-10,2.6693943470210006e-09,1.5282763418680779e-09
2893,3.3979330704620048,2.8642368754066005,0.37426896244792196,-5.751484223089033e-10,4.449950030731494e-09,-1.1054744196433058e-08,5.755257951050722e-10,4.4547658827523485e-09,1.1073214005894689e-08
2894,3.074320397084671,1.6367067859466289,0.07485379248958439,2.0876691584333113e-09,-2.2961163263009415e-09,1.3867800613420474e-08,2.0890413568049515e-09,2.2985977945004744e-09,1.388064163945376e-08
2895,3.3979330704620048,2.8642368754066005,0.29941516995833756,-3.576888866606512e-10,2.645381531030431e-09,-1.1096466554814146e-08,3.5788246503106547e-10,2.6482509823758576e-09,1.1114979198600818e-08
2896,3.478836238806338,3.2734135718932578,0.37426896244792196,3.6926343278787303e-10,4.269268018986275e-09,-2.0829560720254215e-08,3.7537540245733164e-10,4.273839226051313e-09,2.0859321997581693e-08
2897,3.1552235654290044,2.045883482433286,0.07485379248958439,1.454621474356242e-09,-2.4752713027279845e-09,6.320171817959452e-09,1.455282938515523e-09,2.4779451233952855e-09,6.324293445338246e-09
2898,3.478836238806338,3.2734135718932578,0.29941516995833756,2.198276167085047e-10,2.5297812665533125e-09,-2.0876520895140757e-08,2.2346740482031704e-10,2.5324999099510933e-09,2.0906334811101974e-08
2899,3.559739407150672,3.682590268379915,0.37426896244792196,1.1930015474020054e-09,3.986972219536756e-09,-3.044922236147125e-08,1.1978452333280175e-09,3.991181201812311e-09,3.049014135030541e-08
2900,3.2361267337733377,2.4550601789199433,0.07485379248958439,8.233414930504687e-10,-2.580767581374526e-09,-2.1966601845713774e-09,8.234317022718235e-10,2.5835443776806005e-09,2.2045941178730373e-09
2901,3.559739407150672,3.682590268379915,0.29941516995833756,7.337688622176794e-10,2.353527473475609e-09,-3.049296540694887e-08,7.366418883779353e-10,2.3560266968204256e-09,3.0533935142809473e-08
2902,3.640642575495005,4.091766964866572,0.37426896244792196,1.8381908816092905e-09,3.713095447277291e-09,-3.969099709072146e-08,1.8434035455127716e-09,3.7169617785661958e-09,3.974256804240243e-08
2903,3.3170299021176715,3.682590268379915,0.0,-1.4191592307121487e-09,-3.672252414223971e-09,-2.881746060166851e-08,1.4241329652731452e-09,3.6760047781296527e-09,2.8853114609090027e-08
2904,3.3979330704620048,3.682590268379915,0.07485379248958439,-8.023398419563044e-10,-2.319720683079284e-09,-2.9450709582623662e-08,8.053464302305098e-10,2.3220934821752865e-09,2.9488195805010744e-08
2905,3.3170299021176715,2.8642368754066005,0.07485379248958439,2.224376869725493e-10,-2.5976345322163055e-09,-1.1333575487990733e-08,2.2316271749953005e-10,2.600404071294137e-09,1.135114867452202e-08
2906,3.478836238806338,3.682590268379915,0.14970758497916878,-2.4914944132848236e-10,-8.457254520823295e-10,-3.000938307615702e-08,2.502020631836087e-10,8.465731907921364e-10,3.0048644227459295e-08
2907,3.640642575495005,4.091766964866572,0.29941516995833756,1.153415542626144e-09,2.1862248783255533e-09,-3.972031899201556e-08,1.1565264451728701e-09,2.1885222070139424e-09,3.977192400785661e-08
2908,2.8316108920516707,0.0,0.22456137746875315,-1.4022342216188404e-09,5.533896602912545e-10,3.508913370239206e-08,1.403482352310629e-09,5.540082586780084e-10,3.512684273997728e-08
2909,2.912514060396004,0.4091766964866572,0.22456137746875315,-1.3106483837370906e-09,5.858354533405526e-10,3.1840354158963004e-08,1.3118021074907965e-09,5.864821971345671e-10,3.187394786703013e-08
2910,2.9934172287403378,0.8183533929733144,0.22456137746875315,-1.1438498736114999e-09,6.529024649747545e-10,2.765482159890377e-08,1.1448134171543343e-09,6.536213647017147e-10,2.7683269116887873e-08
2911,2.7507077237073374,0.0,0.0,6.8497433666924835e-09,-2.663867702454646e-09,3.186329359958065e-08,6.856150251081854e-09,2.666794716326298e-09,3.189796317638563e-08
