node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx
131,0.8500000000000001,0.04,0.0,6000018.714748256,4698352.475997145,10656046.623993682,41389.23078628095,3608385.2785877013,-111349.17275955813
132,1.0,0.06,0.03,47325744.80902427,47501600.9526257,110080151.7773164,-88983.1475085683,-30946111.175867368,6301577.220310686
133,0.8500000000000001,0.04,0.01,739902.1651422789,-685.5260536712528,18436.735801138682,32056.904796695133,2253007.5900235884,355095.5543141376
134,0.8,0.03,0.0,-791170.0233953628,-265574.8574891593,52487.00138537395,-301735.7046703364,-170944.04544844863,4106011.2486610576
135,0.8,0.03,0.01,6710722.336844969,1417977.5633179692,-1788051.2708635752,-3998683.662427896,-198178.3761474812,-2798509.6749166315
136,0.75,0.02,0.0,6573188.959520694,3156890.6618481823,2936113.8166307914,-5450632.0790885845,48874.64493314339,-5770330.119405461
137,1.0,0.05,0.05,-1140564.981621485,-1171966.9434817238,-2478545.431800846,198.46410865235043,200704.60757793163,322297.3146035077
138,0.9500000000000001,0.05,0.04,5444058.744614396,5271319.334038382,12681189.625468321,-28539.468315150625,-876570.3831178497,-467635.4845340527
139,0.8500000000000001,0.03,0.03,-945625.0596909311,-1288516.6859053595,-2920971.560315539,-8824.020479519128,3882067.2283028606,-142016.67731602344
140,0.75,0.02,0.01,5625481.054295966,2489334.3292738884,4555038.873160748,-10908406.613905502,-6244.105231285549,4034923.2689538733
141,0.7000000000000001,0.01,0.0,1343074.2250612509,-1028760.1311150667,-2473355.7612399934,4164939.0234903865,-149187.55426141177,-195006.8669027604
142,0.9500000000000001,0.0,0.06,285153.36701562663,134028.1049885579,81378.96026097896,-1957189.5728401202,618495.590729932,731255.9363453104
143,0.9500000000000001,0.01,0.06,-2930670.918704257,-2829726.2789975815,-6592008.9843739625,114233.463148467,2527702.691983796,178542.23352471952
144,0.9,0.0,0.05,-4339049.860937919,-4181590.992538918,-9652275.757454108,-953196.11817112,5384212.111861621,-506142.5831513613
145,0.9,0.01,0.05,27552037.16217689,27881717.660160195,65398477.34637921,898723.4152245254,-52448238.318981715,3083572.2664862084
146,0.8500000000000001,0.0,0.04,1336551.7228939603,1103314.8068800766,2445840.239296539,62925.84066554995,19976059.95769383,289892.82749142847
147,1.0,0.03,0.06,354343.49572716694,265572.94098781265,781463.3088873652,-134055.48403822153,275096.7811095228,-3559719.1244547917
148,0.8500000000000001,0.01,0.04,-22717330.364967085,-22860972.897609543,-53250100.9634858,87744.78169145531,-18572156.932529382,-4322401.610063682
149,0.8,0.0,0.03,1375299.2631360039,955180.3275134816,2230622.45985686,972973.9744523291,2095778.0373599215,918864.8884429953
150,0.8,0.01,0.03,2200077.98036303,1024753.031037386,1816724.4322532394,-1506183.484003981,-74273.99202963346,-207213.39457903997
151,0.75,0.0,0.02,2268866.028513334,1191258.412611012,2607501.16843444,374992.93462345446,-424671.0582725278,296046.03660698765
152,0.9500000000000001,0.04,0.05,2930570.192942852,2825844.3092615637,6738960.854507402,-17291.82847812235,-4294710.120852488,454047.8603006917
153,0.75,0.01,0.02,1241150.094353894,36978.78853831494,75703.99624494057,-400371.27422909724,1369148.476726501,1319179.935868361
154,0.7000000000000001,0.0,0.01,1379945.9238680515,-446892.54277065076,-1208822.2047635138,10721.772775661808,-795196.032881008,-201194.05953139134
155,1.0,0.07,0.01,13711352.345888196,13567880.580298543,31819181.457231745,-24738.477181247214,-4331507.532966137,-808896.749690272
156,0.9500000000000001,0.06,0.02,1679275.1429592588,1303023.1971450264,3575722.4609837555,-48492.4059081621,-1551252.6081290066,-2116895.73179884
157,0.9,0.05,0.02,22936778.049515698,22542930.218226504,52085217.20353525,31596.428018387855,-15668669.490861362,-2532369.1871640272
158,1.0,0.06,0.04,-12290035.444900732,-12153290.188666116,-28885843.945326127,-21578.165961997394,3613925.282573758,279938.76132954715
159,0.8500000000000001,0.04,0.02,1313503.5161217258,1468544.1177091561,4176667.9287481015,-43180.0344225645,646360.8910977573,57346.531627236196
160,0.9,0.04,0.04,-2126494.987984949,-2285872.6824113657,-5336272.098019303,12078.205305664776,9113316.076802725,-1177604.8960221254
161,0.8,0.03,0.02,8940195.465216748,6988986.719535347,15211127.55681673,-2664553.716200719,1153079.1660316226,1811449.3008099247
162,0.7000000000000001,0.01,0.01,2680555.5807318403,871953.1671361076,2012006.1069828821,566123.1852665022,621769.0022680208,-460659.9585412212
163,1.0,0.01,0.07,572085.6486655448,433507.0130380871,887902.588972978,-374016.8342641939,-144520.30448858644,581702.1306301693
164,0.9500000000000001,0.02,0.06,19750748.360054184,20093562.848248884,47178287.09372418,1112263.804012901,-11690871.462677056,2077475.870362544
165,0.9,0.02,0.05,12990809.497210564,11696444.501887336,25985132.566683523,-1124933.1065794213,501277.7905096373,-2265162.4403993185
166,1.0,0.04,0.06,196238.81658094734,-34017.1573440066,897344.86900295,51808.83703939784,-3155073.9931658343,-333159.118671073
167,0.8500000000000001,0.02,0.04,-9392393.822508676,-12488323.547274575,-32025651.427546628,-705403.2575569149,11368396.26629313,-8046170.376100219
168,0.8,0.02,0.03,2943550.4553126413,1542021.0395228614,2753608.360247777,1609349.8219754589,920052.3635969331,-5712752.537971785
169,1.0,0.07,0.0,390298.8598141566,175958.89525437358,542636.4145743186,-45997.888841916494,479561.8375635552,-236039.65588908465
170,1.0,0.07,0.02,-47522903.04688514,-47604985.38523043,-111042810.26198287,-9303.335392794583,28686182.85200492,7145666.419873579
171,0.9500000000000001,0.06,0.03,93812366.10654825,93654728.75033827,218604885.86767972,-34684.553379990146,-21706771.89167151,-4463504.736849115
172,0.9,0.05,0.03,4627226.816098994,4301039.944752167,9597710.88930472,54938.3188782475,2229378.274229112,-730449.6481010125
173,1.0,0.06,0.05,-185030.6241330274,-217953.27400758513,-322670.6706336203,-3214.22901089332,-476063.09334946366,676576.2994172808
174,0.9500000000000001,0.05,0.05,-78334.11877939785,-107380.50654460547,-216988.5938364835,-19512.430652338644,1624104.6323796192,-401860.4922223433
175,0.8500000000000001,0.04,0.03,-12308252.811515959,-12635428.881727172,-29382642.999100853,46457.80298843436,-9345700.569159012,1411845.473416512
176,0.75,0.02,0.02,-4801872.456456947,-5921093.137820439,-13880792.128094932,2021236.526599835,-4601360.164071921,-1060531.6766374968
177,0.65,0.0,0.0,2422934.4287101496,98101.81599229376,29151.28239501494,-824475.587589386,-12748.064736787526,-9438.736748441128
178,1.0,0.0,0.07,128954.24003539134,242990.43813069706,714864.7089912464,362091.52904439275,-569790.1587654706,66936.70625447136
179,1.0,0.02,0.07,-1110774.7087681652,-1359069.7806079818,-3321752.4844731535,612159.2349581384,1005807.921101654,694996.4422178726
180,0.9500000000000001,0.03,0.06,27903464.959075835,28200458.70056984,66147644.62707663,-44964.39121098601,17668755.053606145,3533874.3138255286
181,0.9,0.03,0.05,-22458769.50777504,-22415422.426515605,-52127583.493179515,862716.830627839,50335619.92220789,-4325505.201105339
182,1.0,0.05,0.06,-679169.1986645255,-646920.1856423507,-1333629.3832941807,-2961.26096058357,1757907.901852521,439773.4040176757
183,0.8500000000000001,0.03,0.04,330170.4186393071,-476791.0315380883,-1700785.4253563231,729560.8273374134,646105.8027510113,-543310.2570539105
184,0.9500000000000001,0.07,0.0,-10749482.242114432,-11084825.66158886,-25797653.498218685,-41325.2314161184,3020325.414469162,607603.077486746
