node_id,x,y,z
94,0.75,0.01,0.0
95,0.9500000000000001,0.0,0.05
96,0.9500000000000001,0.01,0.05
97,0.9,0.0,0.04
98,0.9,0.01,0.04
99,0.8500000000000001,0.0,0.03
100,1.0,0.03,0.05
101,0.8500000000000001,0.01,0.03
102,0.8,0.0,0.02
103,0.8,0.01,0.02
104,0.75,0.0,0.01
105,1.0,0.06,0.01
106,0.9500000000000001,0.05,0.02
107,0.9,0.04,0.02
108,1.0,0.05,0.04
109,0.9500000000000001,0.04,0.04
110,0.8500000000000001,0.03,0.02
111,0.75,0.01,0.01
112,1.0,0.01,0.06
113,0.9500000000000001,0.02,0.05
114,0.9,0.02,0.04
115,1.0,0.04,0.05
116,0.8500000000000001,0.02,0.03
117,1.0,0.06,0.0
118,1.0,0.06,0.02
119,0.9500000000000001,0.05,0.03
120,0.9,0.04,0.03
121,0.8,0.02,0.02
122,0.7000000000000001,0.0,0.0
123,1.0,0.0,0.06
124,1.0,0.02,0.06
125,0.9500000000000001,0.03,0.05
126,0.9,0.03,0.04
127,0.9500000000000001,0.06,0.0
128,0.9500000000000001,0.06,0.01
129,0.9,0.05,0.0
130,0.9,0.05,0.01
131,0.8500000000000001,0.04,0.0
132,1.0,0.06,0.03
133,0.8500000000000001,0.04,0.01
134,0.8,0.03,0.0
135,0.8,0.03,0.01
136,0.75,0.02,0.0
137,1.0,0.05,0.05
138,0.9500000000000001,0.05,0.04
139,0.8500000000000001,0.03,0.03
140,0.75,0.02,0.01
141,0.7000000000000001,0.01,0.0
142,0.9500000000000001,0.0,0.06
143,0.9500000000000001,0.01,0.06
144,0.9,0.0,0.05
145,0.9,0.01,0.05
146,0.8500000000000001,0.0,0.04
147,1.0,0.03,0.06
148,0.8500000000000001,0.01,0.04
149,0.8,0.0,0.03
150,0.8,0.01,0.03
151,0.75,0.0,0.02
152,0.9500000000000001,0.04,0.05
153,0.75,0.01,0.02
154,0.7000000000000001,0.0,0.01
155,1.0,0.07,0.01
156,0.9500000000000001,0.06,0.02
157,0.9,0.05,0.02
158,1.0,0.06,0.04
159,0.8500000000000001,0.04,0.02
160,0.9,0.04,0.04
161,0.8,0.03,0.02
162,0.7000000000000001,0.01,0.01
163,1.0,0.01,0.07
164,0.9500000000000001,0.02,0.06
165,0.9,0.02,0.05
166,1.0,0.04,0.06
167,0.8500000000000001,0.02,0.04
168,0.8,0.02,0.03
169,1.0,0.07,0.0
170,1.0,0.07,0.02
171,0.9500000000000001,0.06,0.03
172,0.9,0.05,0.03
173,1.0,0.06,0.05
174,0.9500000000000001,0.05,0.05
175,0.8500000000000001,0.04,0.03
176,0.75,0.02,0.02
177,0.65,0.0,0.0
178,1.0,0.0,0.07
179,1.0,0.02,0.07
180,0.9500000000000001,0.03,0.06
181,0.9,0.03,0.05
182,1.0,0.05,0.06
183,0.8500000000000001,0.03,0.04
184,0.9500000000000001,0.07,0.0
185,0.9500000000000001,0.07,0.01
186,0.9,0.06,0.0
187,0.9,0.06,0.01
188,0.8500000000000001,0.05,0.0
189,1.0,0.07,0.03
190,0.8500000000000001,0.05,0.01
191,0.8,0.04,0.0
192,0.8,0.04,0.01
193,0.75,0.03,0.0
194,0.9500000000000001,0.06,0.04
195,0.75,0.03,0.01
196,0.7000000000000001,0.02,0.0
197,0.9,0.05,0.04
198,0.8,0.03,0.03
199,0.7000000000000001,0.02,0.01
200,0.65,0.01,0.0
201,0.9500000000000001,0.0,0.07
202,0.9500000000000001,0.01,0.07
203,0.9,0.0,0.06
204,0.9,0.01,0.06
205,0.8500000000000001,0.0,0.05
